gene_name	seqname	start	end
OR4F5	chr1	50419	86585
OR4F29	chr1	435740	466678
OR4F16	chr1	670716	701654
SAMD11	chr1	908923	959575
NOC2L	chr1	929203	974309
KLHL17	chr1	945584	980719
PLEKHN1	chr1	951482	990865
PERM1	chr1	960198	997117
HES4	chr1	983962	1015172
ISG15	chr1	986138	1029540
AGRN	chr1	1005120	1071118
RNF223	chr1	1055967	1089306
C1orf159	chr1	1066818	1131361
TTLL10	chr1	1158880	1212936
TNFRSF18	chr1	1188508	1221592
TNFRSF4	chr1	1196326	1229153
SDF4	chr1	1201931	1247031
B3GALT6	chr1	1217237	1250041
C1QTNF12	chr1	1227446	1261722
UBE2J2	chr1	1238909	1288864
SCNN1D	chr1	1265436	1307029
ACAP3	chr1	1277390	1324609
PUSL1	chr1	1293597	1326677
INTS11	chr1	1296585	1339687
CPTP	chr1	1309756	1343896
TAS1R3	chr1	1316280	1350314
DVL1	chr1	1320276	1364418
MXRA8	chr1	1337689	1376777
AURKAIP1	chr1	1358730	1390207
CCNL2	chr1	1370711	1414335
MRPL20	chr1	1386909	1422293
ANKRD65	chr1	1403420	1436769
TMEM88B	chr1	1410871	1445255
VWA1	chr1	1419861	1457882
ATAD3C	chr1	1434689	1485163
ATAD3B	chr1	1456765	1512848
ATAD3A	chr1	1497162	1549685
TMEM240	chr1	1519778	1555624
SSU72	chr1	1526673	1589863
FNDC10	chr1	1583012	1615135
MIB2	chr1	1600454	1645605
MMP23B	chr1	1617163	1650263
CDK11B	chr1	1620225	1674012
SLC35E2B	chr1	1644529	1707795
CDK11A	chr1	1687379	1739357
NADK	chr1	1736232	1795457
GNB1	chr1	1770285	1907292
CALML6	chr1	1900108	1932296
TMEM52	chr1	1902590	1934279
CFAP74	chr1	1906951	2018837
GABRD	chr1	2004329	2045758
PRKCZ	chr1	2035411	2200395
FAAP20	chr1	2169461	2227720
SKI	chr1	2212388	2325213
MORN1	chr1	2306253	2406707
RER1	chr1	2376775	2420442
PEX10	chr1	2388964	2428797
PLCH2	chr1	2410980	2520532
PANK4	chr1	2493537	2541597
HES5	chr1	2513745	2545263
TNFRSF14	chr1	2540639	2580382
PRXL2B	chr1	2571491	2606469
MMEL1	chr1	2575639	2648016
TTC34	chr1	2621986	2816693
ACTRT2	chr1	3006467	3037903
PRDM16	chr1	3054168	3453621
ARHGEF16	chr1	3439665	3496113
MEGF6	chr1	3472951	3626508
TPRG1L	chr1	3610015	3645127
WRAP73	chr1	3615767	3667761
TP73	chr1	3637516	3751201
CCDC27	chr1	3731460	3786645
SMIM1	chr1	3757749	3790982
LRRC47	chr1	3763559	3811498
CEP104	chr1	3797086	3872396
DFFB	chr1	3842267	3900429
C1orf174	chr1	3874125	3915293
AJAP1	chr1	4639609	4807534
NPHP4	chr1	5847811	6007473
KCNAB2	chr1	5975927	6116193
CHD5	chr1	6086787	6195321
ENSG00000285629	chr1	6144430	6212757
RPL22	chr1	6170020	6224389
RNF207	chr1	6190475	6236299
ICMT	chr1	6206193	6250972
HES3	chr1	6229179	6260578
GPR153	chr1	6232353	6276098
ACOT7	chr1	6249269	6408767
HES2	chr1	6397418	6439670
ESPN	chr1	6409776	6476367
TNFRSF25	chr1	6445786	6481175
PLEKHG5	chr1	6452122	6535074
NOL9	chr1	6506347	6569513
TAS1R1	chr1	6540307	6594755
ZBTB48	chr1	6564994	6604280
KLHL21	chr1	6575724	6629607
PHF13	chr1	6598731	6639030
THAP3	chr1	6609868	6650586
DNAJC11	chr1	6619168	6716924
CAMTA1	chr1	6770454	7784706
VAMP3	chr1	7756296	7796432
PER3	chr1	7769291	7860177
UTS2	chr1	7828083	7868512
TNFRSF9	chr1	7900871	7958165
PARK7	chr1	7939291	8000505
ERRFI1	chr1	7989404	8041309
SLC45A1	chr1	8303114	8359167
RERE	chr1	8337397	8863921
ENO1	chr1	8846000	8894190
CA6	chr1	8930867	8990092
SLC2A7	chr1	8987973	9041423
SLC2A5	chr1	9020106	9103478
GPR157	chr1	9085305	9144102
H6PD	chr1	9219774	9286337
SPSB1	chr1	9277894	9384532
SLC25A33	chr1	9524465	9600173
TMEM201	chr1	9573911	9629877
PIK3CD	chr1	9614889	9744114
CLSTN1	chr1	9713926	9838984
CTNNBIP1	chr1	9833276	9925336
LZIC	chr1	9907113	9958407
NMNAT1	chr1	9928428	10000501
RBP7	chr1	9982206	10031021
UBE4B	chr1	10017832	10196239
KIF1B	chr1	10195570	10396603
PGD	chr1	10383592	10435511
CENPS-CORT	chr1	10415102	10467153
CENPS	chr1	10415433	10457808
CORT	chr1	10435031	10466998
DFFA	chr1	10441522	10487529
PEX14	chr1	10457288	10645758
CASZ1	chr1	10621604	10811650
C1orf127	chr1	10931471	10997076
TARDBP	chr1	10997344	11045528
MASP2	chr1	11007009	11062239
SRM	chr1	11039584	11075020
EXOSC10	chr1	11051618	11114869
MTOR	chr1	11091535	11277556
ANGPTL7	chr1	11174355	11210981
UBIAD1	chr1	11258198	11311049
DISP3	chr1	11464155	11552551
FBXO2	chr1	11622018	11670785
FBXO44	chr1	11639375	11678327
MAD2L2	chr1	11643918	11706811
FBXO6	chr1	11649200	11689354
DRAXIN	chr1	11676710	11740857
AGTRAP	chr1	11721084	11769802
C1orf167	chr1	11746787	11804585
MTHFR	chr1	11770723	11821455
CLCN6	chr1	11791096	11863079
NPPA	chr1	11830709	11863345
NPPB	chr1	11842464	11873945
KIAA2013	chr1	11904591	11941428
PLOD1	chr1	11919205	11990538
MFN2	chr1	11965181	12030211
MIIP	chr1	12004466	12047045
TNFRSF8	chr1	12048303	12159207
TNFRSF1B	chr1	12151991	12224228
VPS13D	chr1	12215030	12527047
DHRS3	chr1	12552910	12633210
AADACL4	chr1	12629085	12682076
AADACL3	chr1	12701110	12743760
CFAP107	chr1	12731200	12778699
PRAMEF12	chr1	12758738	12792906
PRAMEF1	chr1	12776397	12811628
PRAMEF11	chr1	12809605	12846410
