gene_name	seqname	start	end	toy
OR4F5	chr1	65419	71585	0
OR4F29	chr1	450740	451678	0
OR4F16	chr1	685716	686654	0
SAMD11	chr1	923923	944575	0
NOC2L	chr1	944203	959309	0
KLHL17	chr1	960584	965719	0
PLEKHN1	chr1	966482	975865	0
PERM1	chr1	975198	982117	0
HES4	chr1	998962	1000172	0
ISG15	chr1	1001138	1014540	0
AGRN	chr1	1020120	1056118	0
RNF223	chr1	1070967	1074306	0
C1orf159	chr1	1081818	1116361	0
TTLL10	chr1	1173880	1197936	0
TNFRSF18	chr1	1203508	1206592	0
TNFRSF4	chr1	1211326	1214153	0
SDF4	chr1	1216931	1232031	0
B3GALT6	chr1	1232237	1235041	0
C1QTNF12	chr1	1242446	1246722	0
UBE2J2	chr1	1253909	1273864	0
SCNN1D	chr1	1280436	1292029	0
ACAP3	chr1	1292390	1309609	0
PUSL1	chr1	1308597	1311677	0
INTS11	chr1	1311585	1324687	0
CPTP	chr1	1324756	1328896	0
TAS1R3	chr1	1331280	1335314	0
DVL1	chr1	1335276	1349418	0
MXRA8	chr1	1352689	1361777	0
AURKAIP1	chr1	1373730	1375207	0
CCNL2	chr1	1385711	1399335	0
MRPL20	chr1	1401909	1407293	0
ANKRD65	chr1	1418420	1421769	0
TMEM88B	chr1	1425871	1430255	0
VWA1	chr1	1434861	1442882	0
ATAD3C	chr1	1449689	1470163	0
ATAD3B	chr1	1471765	1497848	0
ATAD3A	chr1	1512162	1534685	0
TMEM240	chr1	1534778	1540624	0
SSU72	chr1	1541673	1574863	0
FNDC10	chr1	1598012	1600135	0
MIB2	chr1	1615454	1630605	0
MMP23B	chr1	1632163	1635263	0
CDK11B	chr1	1635225	1659012	0
SLC35E2B	chr1	1659529	1692795	0
CDK11A	chr1	1702379	1724357	2
NADK	chr1	1751232	1780457	0
GNB1	chr1	1785285	1892292	0
CALML6	chr1	1915108	1917296	0
TMEM52	chr1	1917590	1919279	0
CFAP74	chr1	1921951	2003837	0
GABRD	chr1	2019329	2030758	0
PRKCZ	chr1	2050411	2185395	2
FAAP20	chr1	2184461	2212720	0
SKI	chr1	2227388	2310213	0
MORN1	chr1	2321253	2391707	0
RER1	chr1	2391775	2405442	0
PEX10	chr1	2403964	2413797	0
PLCH2	chr1	2425980	2505532	2
PANK4	chr1	2508537	2526597	0
HES5	chr1	2528745	2530263	0
TNFRSF14	chr1	2555639	2565382	0
PRXL2B	chr1	2586491	2591469	0
MMEL1	chr1	2590639	2633016	0
TTC34	chr1	2636986	2801693	2
ACTRT2	chr1	3021467	3022903	0
PRDM16	chr1	3069168	3438621	2
ARHGEF16	chr1	3454665	3481113	0
MEGF6	chr1	3487951	3611508	0
TPRG1L	chr1	3625015	3630127	0
WRAP73	chr1	3630767	3652761	0
TP73	chr1	3652516	3736201	2
CCDC27	chr1	3746460	3771645	0
SMIM1	chr1	3772749	3775982	0
LRRC47	chr1	3778559	3796498	0
CEP104	chr1	3812086	3857396	0
DFFB	chr1	3857267	3885429	0
C1orf174	chr1	3889125	3900293	0
AJAP1	chr1	4654609	4792534	2
NPHP4	chr1	5862811	5992473	0
KCNAB2	chr1	5990927	6101193	0
CHD5	chr1	6101787	6180321	2
ENSG00000285629	chr1	6159430	6197757	0
RPL22	chr1	6185020	6209389	0
RNF207	chr1	6205475	6221299	0
